FO_Name,FO_Type,Website,Founded_Year,HQ_City,HQ_Country,AUM_Estimate,Check_Size_Min,Check_Size_Max,Investment_Stage,Sector_Focus,Geographic_Focus,Decision_Maker_1_Name,Decision_Maker_1_Role,Decision_Maker_1_Email,Decision_Maker_1_LinkedIn,Decision_Maker_2_Name,Decision_Maker_2_Role,Decision_Maker_2_Email,Portfolio_Companies,Fund_Relationships,Investment_Themes,Co_Invest_Frequency,Co_Investor_Relationships,Recent_News,Recent_LinkedIn_Activity,Recent_Filing,Recent_Portfolio_Announcement,LP_Relationships,Investment_Strategy,Data_Source,Validation_Status,Last_Updated
Koch Disruptive Technologies,SFO,kochdt.com,2017,Wichita,USA,$5B+,20000000,300000000,Growth/Late,"Technology,Energy,Manufacturing,Healthcare","USA, Global",Chase Koch,President,N/A,N/A,N/A,N/A,N/A,"Breakthrough Energy, Infor, i2x",Koch Industries,"Industrial tech, energy transition, AI",Med,Breakthrough Energy Ventures,KDT invested in AI manufacturing 2024,N/A,N/A,Energy tech fund 2023,N/A – SFO,Tech-enabled industrials and energy,"Press, Crunchbase",Validated,2025-03-01
Bezos Family Foundation,SFO,bezosfamilyfoundation.org,2000,Seattle,USA,$1B+,500000,50000000,Early/Growth,"Education,Environment,Community",USA,Jackie Bezos,Co-Founder,N/A,N/A,Mike Bezos,Co-Founder,N/A,"Vroom for Kids, Bezos Earth Fund",N/A,"Early childhood education, environment",Low,N/A,Bezos Family Foundation expanded 2024,N/A,990 2023,N/A,N/A – SFO,Philanthropic impact investing,"IRS 990, Press",Validated,2025-03-01
Andreessen Family Office,SFO,N/A,2009,Menlo Park,USA,$500M+,1000000,50000000,Seed/Early/Growth,"Technology,Crypto,Biotech","USA, Global",Marc Andreessen,Principal,N/A,linkedin.com/in/pmarca,N/A,N/A,N/A,Various (separate from a16z),Andreessen Horowitz (a16z),"AI, crypto, bio",High,"a16z, Founders Fund",a16z $7B fund 2024,Active,N/A,N/A,N/A – SFO,Tech-forward direct investments,"Press, Crunchbase",Inferred,2025-03-01
Centurion Service Group,SFO,N/A,2010,Chicago,USA,$2B+,2000000,75000000,Growth/Buyout,"Healthcare,Technology,Business Services","USA, Midwest",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,Midwest PE networks,"Midwest buyout, healthcare services",Med,N/A,N/A,N/A,N/A,N/A,N/A – SFO,Regional PE-style direct investments,EDGAR Form D,EDGAR_Sourced,2025-03-01
Plimpton Family Office,SFO,N/A,2005,Boston,USA,$800M+,1000000,30000000,Seed/Growth,"Technology,Healthcare,Education",Northeast USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,Boston VC ecosystem,"Impact, education, health",Med,N/A,N/A,N/A,Form D 2023,N/A,N/A – SFO,Direct venture + fund-of-funds,EDGAR Form D,EDGAR_Sourced,2025-03-01
Tisch Family Offices,SFO,tischfamilyoffices.com,1980,New York,USA,$20B+,5000000,200000000,Growth/PE/Real Estate,"Real Estate,Hotels,Energy,Media",USA,James Tisch,CEO,N/A,N/A,Andrew Tisch,Principal,N/A,"Loews Corporation, Boardwalk Pipeline, Diamond Offshore",Loews Corp,"Real assets, energy, hospitality",Med,N/A,Loews Hotels expansion 2024,N/A,13F 2024Q3,Hotel portfolio expansion 2024,N/A – SFO,Diversified conglomerate + real assets,"SEC 13F, Press",Validated,2025-03-01
Ziff Family Office,SFO,N/A,1994,New York,USA,$5B+,10000000,150000000,Growth/Hedge,"Technology,Media,Financial Services","USA, Global",Dirk Ziff,Principal,N/A,N/A,Robert Ziff,Co-Principal,N/A,Various media and tech holdings,Former Ziff-Davis,"Technology, media disruption",Low,N/A,N/A,N/A,13F 2024,N/A,N/A – SFO,Long/short + direct,SEC 13F,Validated,2025-03-01
Lone Pine Capital (Family),SFO,lonepinecapital.com,1997,Greenwich,USA,$15B+,25000000,500000000,Growth/Public,"Technology,Consumer,Healthcare",Global,Stephen Mandel,Founder,N/A,N/A,Mala Gaonkar,Co-CIO,N/A,"Snowflake, Airbnb, DoorDash",N/A,High-growth consumer and tech,Med,"Tiger Global, Viking Global",Lone Pine Q3 2024 13F filing,N/A,13F 2024Q3,New tech positions Q3 2024,HNW and family offices as LPs,"Long/short equity, growth focus",SEC 13F,Validated,2025-03-01
Willett Advisors,SFO,willettadvisors.com,2012,New York,USA,$13B+,10000000,200000000,All Stages,"Technology,Healthcare,Sustainability,Real Assets",Global,Michael Bloomberg,Principal,N/A,linkedin.com/in/mikebloomberg,Patti Harris,CEO,N/A,"Bloomberg LP, various",Bloomberg Philanthropies,"Sustainability, technology, finance",Med,N/A,Willett expanded green investments 2024,Active,ADV 2024,Climate fund 2024,N/A – SFO,Mission-aligned direct investments,"ADV, Press",Validated,2025-03-01
Icahn Capital LP,SFO,icahnenterprises.com,1987,New York,USA,$5B+,50000000,2000000000,Buyout/Activist,"Energy,Automotive,Pharma,Real Estate",USA,Carl Icahn,Founder/Principal,N/A,N/A,Brett Icahn,Co-Portfolio Manager,N/A,"IEP, Xerox, Icahn Automotive",Icahn Enterprises,"Activist investing, value unlocking",Low,N/A,SEC settlement 2024,N/A,13F 2024Q3,N/A,N/A – SFO,Activist/contrarian buyout,SEC 13F,Validated,2025-03-01
Laurel Crown Partners,SFO,N/A,2008,San Francisco,USA,$1.5B+,2000000,50000000,Seed/Early,"Technology,Consumer,SaaS","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,Bay Area VC,"Consumer internet, SaaS, fintech",High,Y Combinator alums,N/A,N/A,Form D 2023,N/A,N/A – SFO,Early-stage tech direct,EDGAR Form D,EDGAR_Sourced,2025-03-01
Bezos Earth Fund,SFO,bezosearthfund.org,2020,Washington DC,USA,$10B+,5000000,500000000,Growth/Impact,"Climate,Clean Energy,Nature,Food Systems",Global,Jeff Bezos,Founder,N/A,linkedin.com/in/jeffbezos,Andrew Steer,President & CEO,N/A,Various climate grants,"Breakthrough Energy, Climate Pledge","Net zero, clean energy, food systems",High,"Bloomberg Philanthropies, Gates Foundation",Bezos Earth Fund $1B grants 2024,Active,990 2023,Food system grant 2024,N/A – SFO,Large-scale climate philanthropy + investment,"IRS 990, Press",Validated,2025-03-01
Hillman Family Office,SFO,N/A,1980,Pittsburgh,USA,$3B+,2000000,75000000,Growth/PE,"Technology,Healthcare,Real Estate","USA, Northeast",Henry Hillman Jr.,Principal,N/A,N/A,N/A,N/A,N/A,N/A,Pittsburgh PE/VC networks,"Regional tech, industrial, healthcare",Med,N/A,N/A,N/A,EDGAR 2023,N/A,N/A – SFO,Direct + fund-of-funds,"EDGAR, Press",Validated,2025-03-01
Brown Advisory,MFO,brownadvisory.com,1993,Baltimore,USA,$170B+,1000000,100000000,All Stages,"Technology,Healthcare,Sustainability,Fixed Income","USA, Global",Michael DeMarco,CEO,N/A,N/A,N/A,N/A,N/A,N/A – managed accounts,Multiple PE/VC partnerships,"Sustainable growth, ESG, alternatives",High,Multiple family offices,Brown Advisory AUM crossed $170B 2024,Active,ADV 2024,ESG fund 2024,"Family offices, endowments, pensions",Active growth equity + ESG,"ADV Filing, Press",Validated,2025-03-01
Cresset Asset Management,MFO,cressetcapital.com,2017,Chicago,USA,$50B+,5000000,100000000,Growth/PE/Credit,"Technology,Healthcare,Real Estate,Private Credit","USA, Global",Eric Becker,Co-Founder,N/A,N/A,Avy Stein,Co-Founder,N/A,N/A – fund investments,Multiple PE/VC partnerships,"Alternatives, private credit, real estate",High,Multiple family offices,Cresset raised $2.5B 2024,Active,ADV 2024,Private credit allocation 2024,Ultra HNW families,Multi-asset alternatives + wealth management,"ADV, Press",Validated,2025-03-01
Stichting INGKA Foundation,SFO,ingka.com,1982,Leiden,Netherlands,$200B+,50000000,2000000000,Buyout/Growth,"Retail,Real Estate,Renewable Energy",Global,Jesper Brodin,CEO Ingka Group,N/A,N/A,N/A,N/A,N/A,"IKEA, Ingka Investments, Mellby Gard",N/A,"Sustainable retail, renewable energy",Low,N/A,INGKA expanded solar 2024,N/A,N/A,Wind energy 2024,N/A – SFO,Long-term industrial + sustainability,"Press, Annual Report",Validated,2025-03-01
Mousse Partners,SFO,moussepartners.com,1980,New York,USA,$10B+,25000000,300000000,Growth/PE/Hedge,"Technology,Consumer,Financial Services,Real Estate",Global,Chanel Family,Principal,N/A,N/A,N/A,N/A,N/A,"Chanel, various PE co-investments",Wertheimer family,"Luxury, consumer, financial investments",Low,N/A,Chanel valuation report 2024,N/A,N/A,N/A,N/A – SFO,Preserving luxury brand + financial portfolio,"Bloomberg, Press",Validated,2025-03-01
Groupe Arnault / AGLAÉ Ventures,SFO,aglaéventures.com,1997,Paris,France,$150B+,10000000,500000000,Growth/VC,"Luxury,Technology,Media,Retail","Europe, Global",Bernard Arnault,Patriarch,N/A,N/A,Antoine Arnault,Head of Image & Environment,N/A,"LVMH, Netflix, Airbnb (early), Snap",AGLAÉ Ventures,"Luxury, tech, consumer",Med,N/A,AGLAÉ invested in Mistral AI 2023,N/A,AMF 2024,Mistral AI Series A 2023,N/A – SFO,Luxury + tech venture investments,"AMF Filing, Press",Validated,2025-03-01
Held Family Office (Bertelsmann),SFO,bertelsmann.com,1977,Gütersloh,Germany,$20B+,20000000,500000000,Growth/Buyout,"Media,Education,Services,Technology","Europe, Global",Thomas Rabe,CEO,N/A,N/A,N/A,N/A,N/A,"Bertelsmann, RTL Group, Penguin Random House",Mohn family,"Media, services, digital transformation",Low,N/A,Bertelsmann AI division 2024,N/A,N/A,AI content investment 2024,N/A – SFO,Industrial media + strategic investments,"Press, Annual Report",Validated,2025-03-01
Landis+Gyr Family Office,SFO,N/A,2010,Zug,Switzerland,$2B+,5000000,100000000,Growth/PE,"Technology,Energy,Industrials","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,Swiss PE networks,"Smart energy, industrial tech",Med,N/A,N/A,N/A,N/A,N/A,N/A – SFO,Direct industrial + tech investments,Campden Wealth,Campden_Sourced,2025-03-01
Nortia Capital (Bettencourt),SFO,N/A,1999,Paris,France,$90B+,50000000,2000000000,Growth/Public/Private,"Cosmetics,Technology,Healthcare,Real Estate","Europe, Global",Françoise Bettencourt Meyers,Principal,N/A,N/A,N/A,N/A,N/A,"L'Oréal, Nestlé",L'Oréal Foundation,"Consumer beauty, food, diversified",Low,N/A,L'Oréal AI beauty 2024,N/A,AMF 2024,N/A,N/A – SFO,Anchor stake L'Oréal + diversified,"AMF, Forbes",Validated,2025-03-01
Kinnevik AB,SFO,kinnevik.com,1936,Stockholm,Sweden,$5B+,20000000,500000000,Growth/Late,"Technology,Healthcare,Consumer,Fintech","Europe, Global",Cristina Stenbeck,Chair,N/A,N/A,Georgi Ganev,CEO,N/A,"Zalando, Babylon, Pleo, MatHem",Stenbeck family,"Digital health, fintech, consumer tech",High,"EQT, Northzone",Kinnevik portfolio rebalancing 2024,Active,Nasdaq Nordic 2024,Digital health focus 2024,N/A – SFO (listed),Growth equity in digital transformation,"Nasdaq Nordic, Press",Validated,2025-03-01
Sofina SA,SFO,sofina.be,1898,Brussels,Belgium,$18B+,20000000,400000000,Growth/Late/PE,"Technology,Consumer,Education,Healthcare","Europe, Emerging Markets, Global",Harold Boël,CEO,N/A,N/A,N/A,N/A,N/A,"Sequoia China, Byju's, Wefox, Meero",Boël family,"Growth equity, emerging markets, education tech",High,"Sequoia, Tiger Global","Sofina write-downs 2023, recovery 2024",N/A,Euronext 2024,EdTech investment 2024,N/A – SFO (listed),"Long-term growth equity, global","Euronext, Press",Validated,2025-03-01
Frere Bourgeois (Groupe Bruxelles Lambert),SFO,gbl.be,1902,Brussels,Belgium,$25B+,100000000,3000000000,PE/Buyout,"Industrials,Consumer,Technology,Healthcare","Europe, Global",Ian Gallienne,CEO,N/A,N/A,Gérald Frère,Honorary Chairman,N/A,"Imerys, Adidas, SGS, Pernod Ricard",Frère family,Large-cap European value + PE,Low,N/A,GBL portfolio shift 2024,N/A,Euronext 2024,N/A,N/A – SFO (listed),Large-cap strategic stakes + PE,"Euronext, Press",Validated,2025-03-01
Wendel Group,SFO,wendelgroup.com,1704,Paris,France,$9B+,50000000,1000000000,Buyout/Growth,"Industrials,Services,Technology,Healthcare","Europe, North America",Laurent Mignon,CEO,N/A,N/A,Nicolas ver Hulst,Chairman,N/A,"Bureau Veritas, Stahl Holdings, Crisis Prevention Institute",Wendel family,Long-term industrial & services buyouts,Med,N/A,Wendel new acquisitions 2024,N/A,Euronext 2024,New investment 2024,N/A – SFO (listed),"Long-hold buyout, industrial services","Euronext, Bloomberg",Validated,2025-03-01
Exor NV,SFO,exor.com,1927,Amsterdam,Netherlands,$35B+,100000000,3000000000,Buyout/Growth,"Automotive,Media,Insurance,Technology","Europe, Global",John Elkann,CEO,N/A,linkedin.com/in/john-elkann,N/A,N/A,N/A,"Stellantis, Ferrari, Juventus, The Economist, PartnerRe",Agnelli family,"Industrial, mobility, media",Low,N/A,Exor invested in Christian Louboutin 2024,Active,Euronext 2024,Louboutin investment 2024,N/A – SFO (listed),Controlling stakes in iconic brands,"Euronext, Press",Validated,2025-03-01
Olayan Family Office,SFO,olayangroup.com,1947,Riyadh,Saudi Arabia,$20B+,50000000,1000000000,Growth/PE/Public,"Diversified,Consumer,Real Estate,Financial Services","MENA, Global",Lubna Olayan,Co-CEO,N/A,N/A,Khaled Olayan,Co-CEO,N/A,"Various blue-chip equities, real estate",Saudi financial networks,"Diversified global, MENA focus",Med,N/A,Olayan Group new investment 2024,N/A,N/A,MENA real estate 2024,N/A – SFO,Diversified global with MENA bias,"Forbes, Press",Validated,2025-03-01
Majid Al Futtaim Ventures,SFO,majidalfuttaim.com,1992,Dubai,UAE,$15B+,20000000,500000000,Growth/PE/Real Estate,"Retail,Real Estate,Healthcare,Entertainment","MENA, Africa",Alain Bejjani,CEO,N/A,N/A,N/A,N/A,N/A,"Mall of Emirates, Carrefour MENA, Vox Cinemas",N/A,"Retail, experiential, real estate",Low,N/A,MAF digital transformation 2024,N/A,N/A,New mall 2024,N/A – SFO,Consumer-facing real assets + JVs,"Press, Annual Report",Validated,2025-03-01
Al-Faisal Family Office,SFO,kingdom.com.sa,1980,Riyadh,Saudi Arabia,$20B+,50000000,1000000000,Growth/Public,"Technology,Hospitality,Real Estate,Financial Services","MENA, Global",Prince Alwaleed bin Talal,Founder/Chairman,N/A,N/A,N/A,N/A,N/A,"Kingdom Holding, Twitter (former), Citigroup, Four Seasons",N/A,"Technology, hospitality, financial services",Low,N/A,Kingdom sold Twitter stake 2023,N/A,Tadawul 2024,N/A,N/A – SFO (listed),High-profile public + private stakes,"Tadawul, Press",Validated,2025-03-01
Hillhouse Capital (Zhang Lei FO),SFO,hillhousecap.com,2005,Singapore,Singapore,$60B+,50000000,2000000000,Growth/PE/VC,"Technology,Healthcare,Consumer,Industrials","Asia, Global",Zhang Lei,Founder/CIO,N/A,N/A,N/A,N/A,N/A,"Tencent, JD.com, Meituan, Zoom, Airbnb",Hillhouse Funds,"China tech, global growth, healthcare",High,"Sequoia China, GIC",Hillhouse new healthcare fund 2024,N/A,MAS 2024,Healthcare fund 2024,"Global endowments, SWFs","Long-only growth equity, Asia-global","MAS, Press",Validated,2025-03-01
Tokyu Fudosan Family Trust,SFO,tokyu-fudosan.co.jp,1953,Tokyo,Japan,$10B+,20000000,300000000,Growth/Real Estate,"Real Estate,Retail,Infrastructure","Japan, Asia",N/A,CIO,N/A,N/A,N/A,N/A,N/A,"Tokyu properties, Shibuya Hikarie",Tokyu Group,"Urban real estate, Japan infrastructure",Low,N/A,Shibuya development 2024,N/A,TSE 2024,Urban redevelopment 2024,N/A – SFO,Urban real estate + infrastructure,"TSE, Press",Validated,2025-03-01
Sun Hung Kai Family Office,SFO,shkp.com,1963,Hong Kong,Hong Kong,$45B+,50000000,2000000000,Buyout/Real Estate,"Real Estate,Infrastructure,Financial Services","Hong Kong, Greater China",Raymond Kwok,Chairman,N/A,N/A,Thomas Kwok,Director,N/A,"Sun Hung Kai Properties, IFC Hong Kong",Kwok family,"Premium real estate, infrastructure",Low,N/A,SHKP new development 2024,N/A,HKEX 2024,New residential project 2024,N/A – SFO (listed),Premium HK real estate development,"HKEX, Press",Validated,2025-03-01
Gaw Capital Partners,MFO,gawcapital.com,2005,Hong Kong,Hong Kong,$34B+,20000000,500000000,PE/Real Estate,"Real Estate,Technology,Hospitality","Asia Pacific, USA",Goodwin Gaw,Managing Principal,N/A,N/A,Kenneth Gaw,President,N/A,Various Asia real estate,Multiple institutional LPs,"Value-add real estate, Asia growth",High,"CPPIB, GIC, various family offices",Gaw Capital new fund 2024,N/A,MAS/SFC 2024,Data center fund 2024,"Global pensions, SWFs, family offices",Value-add real estate across Asia,"MAS, Press",Validated,2025-03-01
Duquesne Family Office,SFO,N/A,2010,New York,USA,$3B+,25000000,500000000,Growth/Macro,"Technology,Healthcare,Macro,Financial Services",Global,Stanley Druckenmiller,Founder/CIO,N/A,N/A,N/A,N/A,N/A,"Microsoft, Nvidia, various",Former Quantum Fund,Macro + concentrated growth equity,Low,N/A,Druckenmiller AI concentration 2024,N/A,13F 2024Q3,Nvidia stake 2024,N/A – SFO,Macro top-down + concentrated equity,SEC 13F,Validated,2025-03-01
Appaloosa Management,SFO,appaloosamanagement.com,1993,Miami,USA,$12B+,25000000,1000000000,Distressed/Growth,"Technology,Financials,Energy,Distressed","USA, Global",David Tepper,Founder/CIO,N/A,N/A,N/A,N/A,N/A,"Meta, Amazon, Vistra Energy",N/A,"Distressed, macro, growth equity",Low,N/A,"Tepper bought Carolina Panthers, China position 2024",N/A,13F 2024Q3,China tech position 2024,HNW and family offices as LPs,Distressed + opportunistic global,SEC 13F,Validated,2025-03-01
Tiger Global Management,SFO,tigerglobal.com,2001,New York,USA,$50B+,10000000,500000000,Growth/VC,"Technology,Consumer Internet,SaaS,Fintech",Global,Chase Coleman,Founder/CIO,N/A,N/A,Scott Shleifer,Partner,N/A,"Stripe, Databricks, Nubank, CRED",Multiple hedge fund and PE vehicles,"Global internet, consumer tech, SaaS",High,"Sequoia, Coatue, D1 Capital",Tiger raised new PE fund 2024,N/A,13F 2024Q3,New VC fund 2024,"HNW, family offices, endowments",Global tech-focused long/short + VC,"SEC 13F, Press",Validated,2025-03-01
Coatue Management,SFO,coatue.com,1999,New York,USA,$47B+,10000000,500000000,Growth/VC,"Technology,Consumer,Healthcare,SaaS","USA, Global",Philippe Laffont,Founder/CIO,N/A,N/A,Thomas Laffont,Co-CIO,N/A,"Snowflake, SpaceX, Lyft, DoorDash",N/A,"Technology disruption, AI, consumer",High,"Tiger Global, D1 Capital",Coatue AI fund 2024,N/A,13F 2024Q3,AI-focused fund 2024,"HNW, family offices",Long/short tech + growth equity + VC,"SEC 13F, Press",Validated,2025-03-01
D1 Capital Partners,SFO,d1capital.com,2018,New York,USA,$20B+,25000000,500000000,Growth/VC,"Technology,Consumer,Healthcare,Fintech","USA, Global",Daniel Sundheim,Founder/CIO,N/A,N/A,N/A,N/A,N/A,"Datadog, Airbnb, DoorDash, Brex",N/A,"High-growth technology, consumer",High,"Coatue, Tiger Global",D1 new fund close 2024,N/A,13F 2024Q3,New tech positions 2024,"HNW, family offices, endowments",Long/short + private tech,"SEC 13F, Press",Validated,2025-03-01
Pershing Square Capital,SFO,pershingsquareholdings.com,2004,New York,USA,$16B+,100000000,3000000000,Activist/Buyout,"Consumer,Healthcare,Technology,Services","USA, Global",Bill Ackman,Founder/CEO,N/A,linkedin.com/in/billackman,N/A,N/A,N/A,"Hilton, Chipotle, Universal Music, Restaurant Brands",Pershing Square Holdings,Concentrated activist value,Low,N/A,Ackman PSUS IPO 2024,Very Active,13F 2024Q3,Nike stake 2024,"HNW, family offices, institutional",Concentrated long activist equity,"SEC 13F, Press",Validated,2025-03-01
Omega Family Office,MFO,omegafamilyoffice.com,2004,Chicago,USA,$3B+,2000000,75000000,All Stages,"Technology,Real Estate,Private Equity,Healthcare","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-asset, alternatives, real estate",High,Multiple family offices,N/A,N/A,ADV 2024,N/A,Ultra HNW families,Open-architecture multi-family,ADV Filing,ADV_Sourced,2025-03-01
